"sector","transect","subunit","observer1","observer2","S1","S2","B","grp.size","subunit.area"
"Piratuba_Noroeste","a1","t1",4,0,1,0,0,4,0.4161
"Piratuba_Noroeste","a1","t10",0,0,0,0,0,0,0.4212
"Piratuba_Noroeste","a1","t11",0,0,0,0,0,0,0.4389
"Piratuba_Noroeste","a1","t12",0,0,0,0,0,0,0.4341
"Piratuba_Noroeste","a1","t13",0,0,0,0,0,0,0.4227
"Piratuba_Noroeste","a1","t14",0,0,0,0,0,0,0.4008
"Piratuba_Noroeste","a1","t15",0,0,0,0,0,0,0.408
"Piratuba_Noroeste","a1","t16",0,0,0,0,0,0,0.4176
"Piratuba_Noroeste","a1","t17",0,0,0,0,0,0,0.4143
"Piratuba_Noroeste","a1","t18",0,0,0,0,0,0,0.414
"Piratuba_Noroeste","a1","t2",0,0,0,0,0,0,0.4221
"Piratuba_Noroeste","a1","t4",0,0,0,0,0,0,0.4341
"Piratuba_Noroeste","a1","t5",0,0,0,0,0,0,0.4434
"Piratuba_Noroeste","a1","t6",0,0,0,0,0,0,0.4389
"Piratuba_Noroeste","a1","t7",0,0,0,0,0,0,0.4392
"Piratuba_Noroeste","a1","t8",0,0,0,0,0,0,0.4389
"Piratuba_Noroeste","a1","t9",0,0,0,0,0,0,0.4272
"Piratuba_Noroeste","a2","t1",0,0,0,0,0,0,0.4527
"Piratuba_Noroeste","a2","t10",0,0,0,0,0,0,0.4428
"Piratuba_Noroeste","a2","t11",0,1,0,1,0,1,0.4425
"Piratuba_Noroeste","a2","t12",0,0,0,0,0,0,0.4386
"Piratuba_Noroeste","a2","t13",0,0,0,0,0,0,0.4413
"Piratuba_Noroeste","a2","t19",0,0,0,0,0,0,0.4629
"Piratuba_Noroeste","a2","t2",0,0,0,0,0,0,0.4803
"Piratuba_Noroeste","a2","t20",0,0,0,0,0,0,0.4659
"Piratuba_Noroeste","a2","t21",0,0,0,0,0,0,0.4563
"Piratuba_Noroeste","a2","t22",0,0,0,1,0,116,0.4695
"Piratuba_Noroeste","a2","t23",0,0,0,0,0,0,0.462
"Piratuba_Noroeste","a2","t3",0,0,0,0,0,0,0.4647
"Piratuba_Noroeste","a2","t4",0,0,0,0,0,0,0.4581
"Piratuba_Noroeste","a2","t5",0,0,0,0,0,0,0.4632
"Piratuba_Noroeste","a2","t6",0,0,0,0,0,0,0.4608
"Piratuba_Noroeste","a2","t7",0,0,0,0,0,0,0.4473
"Piratuba_Noroeste","a2","t8",0,0,0,0,0,0,0.4485
"Piratuba_Noroeste","a2","t9",0,0,0,0,0,0,0.4503
"Piratuba_ Araguari","a3","t1",0,0,0,0,0,0,0.402
"Piratuba_Noroeste","a3","t10",0,0,0,0,0,0,0.4518
"Piratuba_Noroeste","a3","t11",0,0,0,0,0,0,0.4542
"Piratuba_Noroeste","a3","t12",0,0,0,0,0,0,0.4392
"Piratuba_Noroeste","a3","t13",0,0,0,0,0,0,0.4368
"Piratuba_Noroeste","a3","t14",0,0,0,0,0,0,0.4413
"Piratuba_Noroeste","a3","t15",0,0,0,0,0,0,0.4389
"Piratuba_Noroeste","a3","t16",0,0,0,0,0,0,0.4422
"Piratuba_Noroeste","a3","t17",0,0,0,0,0,0,0.441
"Piratuba_Noroeste","a3","t18",0,0,0,0,0,0,0.4347
"Piratuba_Noroeste","a3","t19",0,0,0,0,0,0,0.4335
"Piratuba_ Araguari","a3","t2",0,0,0,0,0,0,0.4236
"Piratuba_Noroeste","a3","t20",0,0,0,0,0,0,0.4422
"Piratuba_Noroeste","a3","t21",0,0,0,0,0,0,0.4401
"Piratuba_Noroeste","a3","t22",0,0,0,0,0,0,0.4233
"Piratuba_Noroeste","a3","t23",0,0,0,0,0,0,0.4212
"Piratuba_Noroeste","a3","t24",0,0,0,0,0,0,0.4092
"Piratuba_Noroeste","a3","t25",0,0,0,0,0,0,0.4305
"Piratuba_ Araguari","a3","t3",0,0,0,0,0,0,0.4434
"Piratuba_Noroeste","a3","t4",0,0,0,0,0,0,0.4407
"Piratuba_Noroeste","a3","t5",0,0,0,0,0,0,0.4332
"Piratuba_Noroeste","a3","t6",0,0,0,0,0,0,0.4353
"Piratuba_Noroeste","a3","t7",0,0,0,0,0,0,0.426
"Piratuba_Noroeste","a3","t8",0,0,0,0,0,0,0.4188
"Piratuba_Noroeste","a3","t9",0,0,0,0,0,0,0.4128
"Piratuba_Noroeste","a4","t1",0,0,0,0,0,0,0.4848
"Piratuba_Noroeste","a4","t10",0,0,0,0,0,0,0.4473
"Piratuba_Noroeste","a4","t11",0,0,0,0,0,0,0.4665
"Piratuba_Noroeste","a4","t12",0,0,0,0,0,0,0.4584
"Piratuba_Noroeste","a4","t13",0,0,0,0,0,0,0.4353
"Piratuba_Noroeste","a4","t14",0,0,0,0,0,0,0.4491
"Piratuba_Noroeste","a4","t15",0,0,0,0,0,0,0.4416
"Piratuba_Noroeste","a4","t16",0,0,0,0,0,0,0.4461
"Piratuba_Noroeste","a4","t17",0,0,0,0,0,0,0.4548
"Piratuba_Noroeste","a4","t18",0,0,0,0,0,0,0.4641
"Piratuba_Noroeste","a4","t19",3,0,0,0,1,3,0.4629
"Piratuba_Noroeste","a4","t2",1,0,1,0,0,1,0.4794
"Piratuba_Noroeste","a4","t20",0,0,0,0,0,0,0.441
"Piratuba_ Araguari","a4","t21",0,0,0,0,0,0,0.4527
"Piratuba_ Araguari","a4","t22",0,0,0,0,0,0,0.4449
