transecto,tempo,Henrique,Elildo,ambiente,Obs,S1,S2,B,grupo_max,total,Latitude,Longitude,Altitude,Data,Compriment,Azimute_Gr,Velocidade_km_h,id_view,FID_2,setor,aero,dens.observ
a1,t1,4,0,c,,1,0,0,4,4,1.36934238486,-50.5571282096,113,26/nov/2017 10:00:32,1387,31.8297634781,166.49,a1t1,0,Piratuba_Noroeste,eurocopter,8.5071449383551
a1,t10,0,0,m,,0,0,0,0,0,1.48347557522,-50.5453321896,100,26/nov/2017 10:05:02,1404,1.20945842772,168.42,a1t10,3,Piratuba_Noroeste,eurocopter,0
a1,t11,0,0,m,,0,0,0,0,0,1.49670230225,-50.5451596901,101,26/nov/2017 10:05:32,1463,0.751969585727,175.52,a1t11,0,Piratuba_Noroeste,eurocopter,0
a1,t12,0,0,cm,,0,0,0,0,0,1.50978921913,-50.5453939643,107,26/nov/2017 10:06:02,1447,358.967887393,173.68,a1t12,0,Piratuba_Noroeste,eurocopter,0
a1,t13,0,0,cm,,0,0,0,0,0,1.52253448963,-50.5453461874,99,26/nov/2017 10:06:32,1409,0.216147760524,169.12,a1t13,0,Piratuba_Noroeste,eurocopter,0
a1,t14,0,0,cm,,0,0,0,0,0,1.53461440466,-50.5455055274,97,26/nov/2017 10:07:02,1336,359.239468417,160.3,a1t14,0,Piratuba_Noroeste,eurocopter,0
a1,t15,0,0,m,,0,0,0,0,0,1.54691250063,-50.545623377,102,26/nov/2017 10:07:32,1360,359.447469872,163.19,a1t15,0,Piratuba_Noroeste,eurocopter,0
a1,t16,0,0,cm,,0,0,0,0,0,1.55950119719,-50.5456699803,107,26/nov/2017 10:08:02,1392,359.786542519,167.04,a1t16,0,Piratuba_Noroeste,eurocopter,0
a1,t17,0,0,c,,0,0,0,0,0,1.57199123874,-50.5458772648,112,26/nov/2017 10:08:32,1381,359.043166002,165.75,a1t17,0,Piratuba_Noroeste,eurocopter,0
a1,t18,0,0,m,,0,0,0,0,0,1.58447105438,-50.5458242912,115,26/nov/2017 10:09:02,1380,0.244748685073,165.6,a1t18,0,Piratuba_Noroeste,eurocopter,0
